surface_habitable_logement,annee_construction,periode_construction,type_batiment,type_energie_principale_chauffage,type_generateur_chauffage_principal,emission_ges_chauffage,emission_ges_ecs,emission_ges_eclairage,emission_ges_5_usages,emission_ges_5_usages_par_m2,etiquette_ges,code_postal_ban,nom_commune_ban
48.4,,avant 1948,appartement,Électricité,Radiateur électrique à accumulation,189.5,101.9,6.3,316.5,6.0,B,77000.0,Melun
61.0,1976.0,1975-1977,appartement,Gaz naturel,Chaudière gaz à condensation après 2015,1040.7,365.3,7.7,1403.0,23.0,C,57600.0,Forbach
99.7,,1978-1982,maison,Électricité,PAC air/air installée entre 2008 et 2014,232.5,115.1,13.6,406.1,4.0,A,84000.0,Avignon
114.0,1989.0,1989-2000,maison,Gaz naturel,Chaudière gaz à condensation après 2015,2167.7,401.8,14.9,2634.3,23.0,C,77440.0,Le Plessis-Placy
18.0,1991.0,1989-2000,appartement,Gaz naturel,Chaudière gaz standard après 2015,549.0,578.7,0.7,970.3,53.8,D,62300.0,LENS
85.5,1989.0,1989-2000,maison,Gaz naturel,Chaudière gaz à condensation après 2015,2376.1,396.5,11.2,2833.6,33.0,D,22100.0,Dinan
69.3,2006.0,2006-2012,appartement,Électricité,"radiateur électrique NFC, NF** et NF***",187.2,135.4,9.0,353.8,5.0,A,,
113.2,1978.0,1978-1982,maison,Électricité,"Convecteur électrique NFC, NF** et NF***",912.4,175.4,14.8,1102.6,9.0,B,76540.0,Saint-Pierre-en-Port
46.5,,avant 1948,appartement,Réseau de Chauffage urbain,Réseau de chaleur isolé,1067.3,686.6,6.1,1771.0,38.0,D,75007.0,Paris
68.3,1947.0,avant 1948,maison,Gaz naturel,Chaudière gaz standard 2001-2015,5198.5,390.8,9.3,5619.3,82.0,F,32460.0,Le Houga
65.6,,avant 1948,appartement,Fioul domestique,Chaudière fioul classique 1981-1990,5306.7,2311.3,8.2,7651.2,116.0,G,57560.0,Abreschviller
54.0,,1948-1974,appartement,Gaz naturel,Chaudière gaz standard 2001-2015,2289.1,382.9,7.1,2688.4,49.0,D,83200.0,Toulon
84.2,1983.0,1983-1988,maison,Électricité,Radiateur électrique à accumulation,448.0,127.8,11.0,606.4,7.0,B,50110.0,Cherbourg-en-Cotentin
27.0,,1948-1974,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",235.4,77.1,3.5,316.0,11.0,B,76960.0,Notre-Dame-de-Bondeville
73.0,1948.0,1948-1974,maison,Électricité,PAC air/eau installée après 2017,153.0,0.0,9.5,193.3,2.0,A,62240.0,Senlecques
68.6,1945.0,avant 1948,appartement,Gaz naturel,Chaudière gaz à condensation après 2015,769.7,361.0,9.3,1097.3,16.0,C,31850.0,Montrabé
116.0,2006.0,2006-2012,maison,Électricité,Plancher ou plafond rayonnant électrique avec régulation terminale,828.1,154.0,14.9,1025.1,8.0,B,87240.0,Saint-Laurent-les-Églises
122.1,1866.0,avant 1948,maison,Électricité,PAC air/air installée à partir de 2015,142.8,35.5,15.3,226.6,1.0,A,51220.0,Hermonville
86.3,1950.0,1948-1974,appartement,Gaz naturel,Chaudière gaz basse température 2001-2015,13.0,1.8,0.2,3736.4,43.3,D,24110.0,Saint-Astier
39.8,1991.0,1989-2000,appartement,Électricité,"radiateur électrique NFC, NF** et NF***",240.6,94.0,5.1,346.6,8.0,B,71470.0,Montpont-en-Bresse
89.0,1968.0,1948-1974,appartement,Réseau de Chauffage urbain,Réseau de chaleur non isolé,774.0,399.9,3.4,1078.2,12.0,C,94430.0,Chennevières-sur-Marne
146.0,1960.0,1948-1974,maison,Gaz naturel,Chaudière gaz à condensation 2001-2015,6081.3,523.9,19.9,6688.3,45.8,D,33710.0,Bourg
55.0,,1948-1974,maison,Bois – Bûches,Chaudière bois bûche avant 1978,842.1,0.0,7.3,860.2,15.0,C,41210.0,Saint-Viâtre
162.5,1947.0,avant 1948,maison,Fioul domestique,Chaudière fioul standard 1991-2015,6047.9,862.9,21.6,6982.1,42.0,D,85310.0,La Chaize-le-Vicomte
31.2,1932.0,avant 1948,appartement,Gaz naturel,Chaudière gaz à condensation après 2015,888.6,380.5,1.2,1174.6,37.6,D,78000.0,Versailles
21.5,1900.0,avant 1948,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",144.0,78.6,2.9,233.8,10.0,B,64000.0,Pau
20.0,1970.0,1948-1974,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",99.9,85.8,2.6,196.0,9.0,B,56100.0,Lorient
90.5,2013.0,2013-2021,maison,Électricité,PAC air/eau installée après 2017,89.5,37.1,12.3,164.8,1.0,A,26400.0,Grane
78.0,1982.0,1978-1982,appartement,Gaz naturel,Chaudière gaz à condensation 2001-2015,1981.6,1962.4,3.0,3423.0,43.8,D,95370.0,Montigny-lès-Cormeilles
63.0,1961.0,1948-1974,appartement,Gaz naturel,Chaudière gaz à condensation après 2015,455.6,291.7,2.4,688.2,10.9,B,35700.0,Rennes
61.0,1995.0,1989-2000,appartement,Électricité,"radiateur électrique NFC, NF** et NF***",367.2,146.4,1.3,504.6,8.2,B,51160.0,Champillon
60.3,1948.0,1948-1974,appartement,Réseau de Chauffage urbain,Réseau de chaleur isolé,1044.0,117.7,8.0,1197.3,19.0,C,37300.0,Joué-lès-Tours
44.9,1947.0,avant 1948,appartement,Gaz naturel,Chaudière gaz standard 2001-2015,1495.3,413.8,5.6,1926.0,42.0,D,57250.0,Moyeuvre-Grande
66.9,1947.0,avant 1948,maison,Électricité,"Convecteur électrique NFC, NF** et NF***",533.9,90.2,8.6,632.7,9.0,B,69840.0,Juliénas
84.0,1982.0,1978-1982,appartement,Électricité,PAC air/eau installée après 2017,179.7,163.5,2.1,347.9,4.1,A,28630.0,Morancez
18.8,1983.0,1983-1988,appartement,Électricité,Radiateur électrique à accumulation,43.2,89.0,2.6,141.4,7.0,A,31400.0,Toulouse
67.5,1965.0,1948-1974,appartement,Gaz naturel,Chaudière gaz basse température 1991-2000,2636.2,443.2,8.8,3135.6,46.0,D,2800.0,La Fère
67.8,1948.0,avant 1948,maison,Fioul domestique,Chaudière fioul basse température 1991-2015,15.6,2.1,0.1,4988.0,73.5,F,14430.0,Putot-en-Auge
72.2,2016.0,après 2021,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",165.2,208.9,1.7,336.2,4.6,A,11100.0,Narbonne
46.1,1948.0,1948-1974,appartement,Gaz naturel,Chaudière gaz standard 2001-2015,1514.7,389.9,6.3,1940.3,42.0,D,64320.0,Bizanos
169.2,1947.0,avant 1948,maison,Bois – Bûches,insert installé installé de 2007 à 2017 avec label flamme verte,1072.1,155.5,23.0,1287.1,7.0,B,33860.0,Val-de-Livenne
143.0,1947.0,avant 1948,maison,Fioul domestique,,6817.4,743.0,18.4,7590.8,53.0,E,71390.0,Saint-Privé
31.0,,1948-1974,appartement,Gaz naturel,Chaudière gaz classique avant 1981,8557.5,0.0,4.0,8587.8,277.0,G,77300.0,Fontainebleau
66.2,2011.0,2006-2012,appartement,Électricité,PAC air/air installée entre 2008 et 2014,49.3,127.3,8.7,245.6,3.7,A,6200.0,Nice
96.2,2007.0,2006-2012,maison,Bois – Bûches,PAC géothermique installée avant 2008,162.0,125.4,12.3,346.2,3.0,A,3160.0,Bourbon-l'Archambault
64.5,1948.0,1948-1974,appartement,Gaz naturel,PAC air/air installée à partir de 2015,1018.2,226.3,8.4,1269.2,19.0,C,13100.0,Aix-en-Provence
80.4,1995.0,1989-2000,maison,Gaz naturel,Chaudière gaz à condensation après 2015,1478.0,357.4,10.5,1849.0,23.0,C,62138.0,Billy-Berclau
213.0,1947.0,avant 1948,maison,Électricité,Radiateur électrique à accumulation,1269.8,133.4,28.4,1451.2,6.0,B,41120.0,Seur
53.9,2006.0,2006-2012,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",161.3,122.3,7.3,308.2,5.0,A,31220.0,Cazères
93.4,1947.0,avant 1948,appartement,Gaz naturel,Chaudière gaz à condensation après 2015,3183.4,424.8,12.2,3633.4,38.0,D,75007.0,Paris
57.0,1961.0,1948-1974,appartement,Réseau de Chauffage urbain,réseau de chaleur non répertorié ou inconnu,810.0,859.7,2.2,1441.3,25.3,C,92160.0,Antony
42.3,1970.0,1948-1974,appartement,Gaz naturel,Chaudière gaz basse température après 2015,1327.0,404.8,5.5,1750.3,41.3,D,93100.0,Montreuil
84.0,1968.0,1948-1974,appartement,Réseau de Chauffage urbain,Réseau de chaleur non isolé,729.9,377.1,3.2,1016.7,12.0,C,94430.0,Chennevières-sur-Marne
34.2,1970.0,1948-1974,appartement,Électricité,Plancher ou plafond rayonnant électrique avec régulation terminale,191.3,115.0,4.4,337.7,9.0,B,73210.0,Aime-la-Plagne
38.8,1975.0,1975-1977,appartement,Gaz naturel,Chaudière gaz classique avant 1981,497.2,1281.8,5.3,1813.8,46.0,D,33000.0,Bordeaux
22.9,,1948-1974,appartement,Gaz naturel,Chaudière gaz standard 2001-2015,810.5,766.9,2.9,1591.2,69.0,E,54000.0,Nancy
32.8,1994.0,1989-2000,appartement,Gaz naturel,Chaudière gaz à condensation après 2015,352.8,337.7,1.2,617.3,18.7,C,35000.0,Rennes
118.0,1947.0,avant 1948,maison,Fioul domestique,Chaudière fioul basse température 1991-2015,9958.6,146.0,14.8,10179.5,86.0,F,68000.0,Colmar
62.1,,avant 1948,appartement,Gaz naturel,Chaudière gaz standard 2001-2015,4251.7,396.2,8.1,4678.8,75.0,F,83190.0,Ollioules
68.6,1998.0,1989-2000,appartement,Électricité,Radiateur électrique à accumulation,238.0,164.3,8.9,440.5,6.4,B,78210.0,Saint-Cyr-l'École
83.3,1947.0,avant 1948,maison,Gaz naturel,Chaudière gaz standard 2001-2015,5839.8,596.9,10.7,6471.1,77.0,F,87510.0,Peyrilhac
87.3,1948.0,avant 1948,maison,Fioul domestique,Chaudière fioul standard 1991-2015,21.3,1.7,0.1,7787.2,89.2,F,21340.0,Val-Mont
122.4,,1975-1977,maison,Gaz naturel,Chaudière gaz standard 1991-2000,5105.8,458.3,16.0,5596.5,45.0,D,13200.0,Arles
82.2,1949.0,1948-1974,appartement,Gaz naturel,Chaudière gaz à condensation 2001-2015,6.2,2.3,0.1,1972.8,24.0,C,39100.0,Dole
38.0,2003.0,2001-2005,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",211.0,95.7,5.1,318.8,8.0,B,85000.0,La Roche-sur-Yon
127.2,1947.0,avant 1948,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",618.4,150.7,17.3,810.0,6.0,B,7000.0,Coux
96.6,1947.0,avant 1948,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",492.8,149.9,12.1,692.3,7.0,B,88110.0,Celles-sur-Plaine
68.9,1965.0,1948-1974,maison,Fioul domestique,Chaudière fioul standard 1991-2015,7642.6,101.0,8.8,7766.4,112.0,G,71120.0,Vendenesse-lès-Charolles
75.4,,1948-1974,appartement,Électricité,"radiateur électrique NFC, NF** et NF***",633.3,0.0,9.8,643.1,8.0,B,94100.0,Saint-Maur-des-Fossés
13.6,1947.0,avant 1948,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",59.0,64.7,1.7,129.2,9.0,B,21000.0,Dijon
68.4,1947.0,avant 1948,maison,Fioul domestique,Chaudière fioul à condensation 1996-2015,2862.2,115.9,8.6,2998.4,43.0,D,58370.0,Larochemillay
42.0,2004.0,2001-2005,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",108.9,106.9,5.7,223.9,5.3,A,9100.0,Pamiers
19.4,2006.0,2006-2012,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",53.3,52.2,2.6,114.3,5.0,A,31400.0,Toulouse
266.2,1900.0,avant 1948,maison,Fioul domestique,Chaudière fioul standard 1991-2015,21.2,1.3,0.1,17266.4,64.8,E,61210.0,Ménil-Hermei
43.3,1947.0,avant 1948,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",299.5,107.5,5.6,412.6,9.0,B,69003.0,Lyon
32.1,1947.0,avant 1948,appartement,Électricité,"radiateur électrique NFC, NF** et NF***",33.1,92.0,4.4,134.7,4.0,A,33490.0,Verdelais
45.6,2008.0,2006-2012,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",68.5,103.5,6.2,192.9,4.2,A,47140.0,Penne-d'Agenais
53.2,,avant 1948,appartement,Gaz naturel,Chaudière gaz standard après 2015,1795.9,474.9,6.9,2299.6,43.0,D,75012.0,Paris
33.6,1950.0,1948-1974,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",216.3,102.2,4.4,329.1,9.0,B,95220.0,Herblay-sur-Seine
56.0,1987.0,1983-1988,maison,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",456.8,125.5,7.5,589.7,10.5,B,56760.0,Pénestin
27.8,1977.0,1975-1977,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",202.5,84.9,3.6,305.2,10.0,B,30000.0,Nîmes
61.5,1947.0,avant 1948,maison,Fioul domestique,Chaudière fioul basse température 1991-2015,7746.8,128.7,7.7,7903.3,128.0,G,8430.0,Guignicourt-sur-Vence
63.5,1959.0,1948-1974,appartement,Électricité,PAC air/air installée entre 2008 et 2014,216.2,119.0,8.3,359.5,5.0,A,13090.0,Aix-en-Provence
82.5,,1989-2000,appartement,Fioul domestique,Chaudière fioul standard 1991-2015,5439.1,313.5,11.2,5810.1,70.0,F,7190.0,Saint-Pierreville
114.4,1985.0,1983-1988,maison,Bois – Bûches,PAC air/air installée à partir de 2015,585.3,129.5,15.6,760.3,6.0,B,84500.0,Bollène
69.4,2019.0,après 2021,maison,Gaz naturel,Chaudière gaz à condensation après 2015,462.3,359.7,9.0,832.7,12.0,C,72560.0,Changé
88.7,1930.0,avant 1948,appartement,Gaz naturel,Chaudière gaz à condensation après 2015,2817.0,419.5,11.1,3300.7,37.0,D,67360.0,Langensoultzbach
47.9,1984.0,1983-1988,appartement,Gaz naturel,Chaudière gaz standard 2001-2015,1111.9,389.6,6.5,1538.1,32.1,D,31320.0,Castanet-Tolosan
68.3,2006.0,2006-2012,appartement,Gaz naturel,Chaudière gaz à condensation 2001-2015,1272.7,518.9,8.8,1840.1,26.0,C,74600.0,Annecy
183.9,1947.0,avant 1948,maison,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",779.8,178.4,25.0,1002.9,5.0,A,33340.0,Ordonnac
26.0,1947.0,avant 1948,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",256.0,82.0,3.5,341.6,13.0,C,33000.0,Bordeaux
202.0,1900.0,avant 1948,maison,Bois – Bûches,Chaudière bois bûche avant 1978,2058.7,175.1,27.5,2274.5,11.2,C,64300.0,Castétis
100.2,1948.0,1948-1974,appartement,Gaz naturel,Chaudière gaz à condensation après 2015,2954.2,422.0,12.9,3406.8,33.0,D,69005.0,Lyon
82.0,1947.0,avant 1948,maison,Bois – Bûches,poêle à bois bouilleur granulés installé à partir de 2012,1077.5,114.1,10.9,1249.8,15.0,C,72170.0,Meurcé
22.5,1900.0,avant 1948,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",145.2,96.8,2.9,248.4,11.0,B,94140.0,Alfortville
66.0,1947.0,avant 1948,maison,Gaz naturel,Chaudière gaz à condensation 2001-2015,5340.5,398.9,8.6,5805.2,87.0,F,59124.0,Escaudain
38.4,,avant 1948,appartement,Électricité,Radiateur électrique à accumulation,296.9,84.3,5.0,386.2,10.0,B,75013.0,Paris
96.5,1979.0,1978-1982,maison,Électricité,Autres émetteurs à effet joule,532.3,142.2,12.6,723.8,7.5,B,56240.0,Inguiniel
162.9,,avant 1948,maison,Gaz naturel,Chaudière gaz à condensation après 2015,6270.3,449.3,21.7,6759.7,41.0,D,85160.0,Saint-Jean-de-Monts
76.0,,1983-1988,maison,Gaz naturel,Chaudière gaz à condensation 2001-2015,2875.0,431.3,9.9,43.8,43.8,D,35136.0,Saint-Jacques-de-la-Lande
58.4,1945.0,avant 1948,appartement,Réseau de Chauffage urbain,Réseau de chaleur non isolé,646.6,419.1,2.2,968.6,16.6,C,93200.0,Saint-Denis
142.0,1985.0,1983-1988,maison,Électricité,"Convecteur électrique NFC, NF** et NF***",1047.2,132.6,19.3,1235.5,8.0,B,84500.0,Bollène
64.7,,avant 1948,maison,Fioul domestique,Chaudière fioul standard 1991-2015,6913.9,1023.5,8.3,7966.3,123.0,G,63570.0,Brassac-les-Mines
196.0,1945.0,avant 1948,maison,Fioul domestique,Chaudière fioul classique 1970-1975,21957.5,159.4,26.7,22148.0,113.0,G,24310.0,Brantôme en Périgord
78.4,1999.0,1989-2000,maison,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",378.9,131.4,10.2,548.9,7.0,B,35450.0,LIVRE-SUR-CHANGEON
111.7,,avant 1948,appartement,Gaz naturel,Chaudière gaz à condensation après 2015,882.7,479.0,14.3,1410.3,12.0,C,39000.0,Lons-le-Saunier
118.5,2004.0,2001-2005,maison,Électricité,Plancher ou plafond rayonnant électrique avec régulation terminale,757.9,152.5,15.2,953.7,8.0,B,19560.0,Saint-Hilaire-Peyroux
39.1,1977.0,1975-1977,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",6.5,2.5,0.1,547.0,14.0,C,30240.0,Le Grau-du-Roi
167.4,,avant 1948,appartement,Bois – Bûches,Poêle bûche installé avant 1990,1748.4,192.5,22.8,1963.7,11.0,C,64190.0,Gurs
52.0,1978.0,1978-1982,appartement,Électricité,"radiateur électrique NFC, NF** et NF***",265.0,146.9,6.8,438.0,8.0,B,59156.0,Lourches
37.9,1947.0,avant 1948,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",367.0,92.4,5.0,483.6,12.7,C,17300.0,Rochefort
41.4,1949.0,1948-1974,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",368.2,101.0,5.4,474.3,11.4,C,76600.0,Le Havre
136.0,1975.0,1975-1977,maison,Gaz naturel,Chaudière gaz à condensation après 2015,5845.5,482.8,17.5,6409.9,47.0,D,71670.0,Le Breuil
44.0,1966.0,1948-1974,appartement,Gaz naturel,Chaudière gaz standard 1991-2000,859.3,106.9,5.8,979.9,22.2,C,13010.0,Marseille
38.2,1949.0,1948-1974,appartement,Gaz naturel,Chaudière gaz à condensation après 2015,654.9,309.2,5.0,986.7,25.8,C,76600.0,Le Havre
89.3,1975.0,1975-1977,appartement,Gaz naturel,Chaudière gaz classique 1986-1990,2500.5,1248.6,11.7,3772.4,42.0,D,13100.0,Aix-en-Provence
54.9,1989.0,1989-2000,appartement,Électricité,PAC air/air installée à partir de 2015,201.3,112.4,7.2,348.1,6.0,B,34970.0,Lattes
50.0,1947.0,avant 1948,maison,Électricité,Radiateur électrique à accumulation,508.0,89.0,6.7,603.7,12.0,C,72210.0,La Suze-sur-Sarthe
62.7,2010.0,2006-2012,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",100.5,121.1,8.3,188.0,3.0,A,44160.0,Pontchâteau
120.6,2017.0,2013-2021,maison,Bois – Granulés (pellets) ou briquettes,insert installé installé de 2007 à 2017 avec label flamme verte,249.9,34.8,15.7,308.8,2.0,A,62580.0,Neuville-Saint-Vaast
92.6,,1983-1988,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",432.6,128.3,12.1,602.6,6.0,B,29200.0,Brest
35.5,1947.0,avant 1948,appartement,Électricité,"radiateur électrique NFC, NF** et NF***",268.6,85.3,4.6,358.5,10.0,B,13005.0,Marseille
40.9,1948.0,1948-1974,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",312.8,324.3,5.2,663.1,16.0,C,5600.0,Risoul
143.0,1949.0,1948-1974,maison,Électricité,"Convecteur électrique NFC, NF** et NF***",11.5,1.3,0.2,1816.2,12.6,C,24300.0,Nontron
119.0,,avant 1948,maison,Électricité,PAC géothermique installée avant 2008,861.5,56.4,14.8,979.4,8.0,B,38380.0,Saint-Pierre-de-Chartreuse
33.9,2001.0,2001-2005,maison,Électricité,"Convecteur électrique NFC, NF** et NF***",102.7,77.5,4.4,221.0,6.0,A,30230.0,Bouillargues
20.3,,avant 1948,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",167.5,65.1,2.6,240.8,11.0,B,75011.0,Paris
67.0,1983.0,1983-1988,maison,Gaz naturel,Chaudière gaz standard 1991-2000,2408.6,425.9,8.7,2859.1,42.0,D,22950.0,Trégueux
20.0,1994.0,1989-2000,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",44.5,61.3,2.7,122.4,6.0,A,31400.0,Toulouse
112.6,2009.0,2006-2012,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",576.7,184.1,14.5,816.5,7.2,B,87000.0,Limoges
53.3,1993.0,1989-2000,appartement,Gaz naturel,Chaudière gaz à condensation 2001-2015,1464.1,1607.7,2.0,2647.2,49.6,D,77400.0,Thorigny-sur-Marne
108.3,1961.0,1948-1974,appartement,Réseau de Chauffage urbain,Réseau de chaleur non isolé,989.2,1367.6,4.2,2001.0,18.4,C,91350.0,Grigny
137.0,1900.0,avant 1948,appartement,Électricité,PAC air/air installée à partir de 2015,165.0,178.1,17.2,386.3,2.8,A,88000.0,Épinal
94.2,,avant 1948,maison,Gaz naturel,Chaudière gaz classique 1986-1990,3271.1,500.8,12.5,3833.5,40.0,D,17111.0,Loix
21.8,1976.0,1975-1977,appartement,Électricité,"radiateur électrique NFC, NF** et NF***",33.9,97.4,3.0,145.4,6.6,A,64000.0,Pau
142.6,1947.0,avant 1948,maison,Fioul domestique,Chaudière fioul basse température 1991-2015,5878.3,1084.7,17.9,7011.8,49.0,D,8220.0,Rubigny
28.4,2006.0,2006-2012,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",68.7,90.2,3.9,171.8,6.0,A,64340.0,Boucau
45.0,1947.0,avant 1948,appartement,Électricité,"radiateur électrique NFC, NF** et NF***",397.0,111.9,5.9,514.8,11.0,C,59000.0,Lille
40.4,1947.0,avant 1948,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",188.7,99.5,5.5,309.3,7.0,B,81100.0,Castres
41.5,,1978-1982,appartement,Électricité,"radiateur électrique NFC, NF** et NF***",351.1,115.3,5.3,492.8,11.0,C,5200.0,Les Orres
85.0,1948.0,1948-1974,maison,Électricité,"Convecteur électrique NFC, NF** et NF***",10.9,1.9,0.1,850.0,10.0,B,50500.0,Auxais
31.0,,1983-1988,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",136.5,105.8,4.2,258.5,8.0,B,33121.0,Carcans
125.0,,1989-2000,maison,Électricité,PAC air/eau installée entre 2008 et 2014,499.8,51.5,17.0,615.1,4.0,A,12740.0,Sébazac-Concourès
75.8,1948.0,1948-1974,appartement,Réseau de Chauffage urbain,Réseau de chaleur isolé,1966.4,278.1,9.9,2271.4,29.0,C,75018.0,Paris
111.7,1948.0,1948-1974,maison,Fioul domestique,Chaudière fioul basse température 1991-2015,3075.1,136.7,14.6,3240.1,28.0,C,62870.0,Campagne-lès-Hesdin
122.1,1960.0,1948-1974,appartement,Électricité,PAC air/eau installée après 2017,330.6,55.9,15.9,435.9,3.5,A,80680.0,Saint-Fuscien
125.0,1900.0,avant 1948,maison,Électricité,"Convecteur électrique NFC, NF** et NF***",1124.8,166.0,16.6,1307.5,10.0,B,41350.0,Vineuil
54.8,2013.0,2013-2021,appartement,Électricité,PAC air/air installée à partir de 2015,42.0,115.5,7.2,185.7,3.0,A,13600.0,La Ciotat
77.0,1979.0,1978-1982,appartement,Gaz naturel,Chaudière gaz classique avant 1981,4856.0,210.4,1.9,5062.2,65.7,E,52800.0,Nogent
66.0,2006.0,2006-2012,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",189.8,107.2,8.6,326.7,4.0,A,34400.0,Lunel
44.8,1947.0,avant 1948,appartement,Électricité,Radiateur électrique à accumulation,474.9,419.0,5.8,922.5,20.0,C,94300.0,Vincennes
73.5,1947.0,avant 1948,maison,Électricité,PAC air/air installée à partir de 2015,314.3,29.4,9.2,389.4,5.0,A,51230.0,Euvy
59.8,,avant 1948,maison,Électricité,Autres émetteurs à effet joule,736.6,115.0,8.0,859.5,14.0,C,79700.0,Saint-Pierre-des-Échaubrognes
51.0,1961.0,1948-1974,appartement,Réseau de Chauffage urbain,Réseau de chaleur non isolé,550.9,699.7,1.9,1068.1,20.8,C,35000.0,Rennes
13.4,2004.0,2001-2005,appartement,Électricité,"radiateur électrique NFC, NF** et NF***",37.2,83.3,1.8,127.1,9.4,B,59110.0,La Madeleine
81.0,2008.0,2006-2012,appartement,Électricité,Radiateur électrique à accumulation,4.2,2.1,0.1,520.0,6.4,B,35470.0,Bain-de-Bretagne
66.0,,avant 1948,appartement,Gaz naturel,Chaudière gaz standard 2001-2015,2181.9,456.1,8.5,2656.7,40.0,D,63000.0,Clermont-Ferrand
44.0,1975.0,1975-1977,appartement,Gaz naturel,Chaudière gaz standard 1991-2000,1677.9,379.9,5.8,2097.9,47.6,D,83250.0,La Londe-les-Maures
105.3,1965.0,1948-1974,appartement,Gaz naturel,système collectif par défaut en abscence d'information : chaudière fioul pénalisante,4001.7,466.5,13.8,4510.0,42.8,D,20090.0,Ajaccio
103.5,1948.0,1948-1974,maison,Électricité,Radiateur électrique à accumulation,569.8,133.7,13.6,759.0,7.0,B,83120.0,Sainte-Maxime
103.5,,avant 1948,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",302.9,117.4,13.5,493.6,4.0,A,30270.0,Saint-Jean-du-Gard
33.7,1947.0,avant 1948,appartement,Gaz naturel,Chaudière gaz standard 2001-2015,1528.1,385.2,4.3,1930.2,57.0,E,69470.0,Ranchal
145.0,1950.0,1948-1974,appartement,Gaz naturel,Chaudière gaz à condensation 2001-2015,9171.9,935.8,18.2,10157.3,70.0,F,88360.0,Rupt-sur-Moselle
71.7,2000.0,1989-2000,appartement,Gaz naturel,Chaudière gaz standard 1991-2000,2504.3,1592.0,9.3,4144.0,57.0,E,29150.0,Châteaulin
108.0,,avant 1948,maison,Électricité,"radiateur électrique NFC, NF** et NF***",906.6,131.4,14.1,1052.1,9.0,B,60650.0,Saint-Paul
33.4,1948.0,1948-1974,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",805.8,82.6,4.4,892.8,26.0,C,92270.0,Bois-Colombes
23.3,1999.0,1989-2000,appartement,Gaz naturel,Chaudière gaz standard 1991-2000,391.9,319.6,3.0,732.8,31.0,C,13013.0,Marseille
104.8,2012.0,2006-2012,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",516.6,186.8,2.2,695.7,6.6,B,51100.0,Reims
210.0,1800.0,avant 1948,maison,Électricité,Radiateur électrique à accumulation,2110.9,51.9,28.6,2219.7,10.5,B,64120.0,Beyrie-sur-Joyeuse
80.9,2001.0,2001-2005,appartement,Gaz naturel,Chaudière gaz à condensation après 2015,1609.4,415.6,10.4,2079.7,25.0,C,1100.0,Oyonnax
102.6,1961.0,1948-1974,maison,Gaz naturel,Chaudière gaz basse température 2001-2015,3335.9,460.7,13.4,3796.2,37.0,D,77330.0,Ozoir-la-Ferrière
21.2,1989.0,1989-2000,appartement,Électricité,"radiateur électrique NFC, NF** et NF***",61.4,84.6,2.9,157.9,7.0,A,33800.0,Bordeaux
118.5,1971.0,1948-1974,maison,Gaz naturel,Chaudière gaz à condensation 2001-2015,10.9,1.2,0.1,3049.0,25.7,C,34690.0,Fabrègues
90.5,1981.0,1978-1982,maison,Gaz naturel,Chaudière gaz standard 2001-2015,3253.2,474.3,11.6,3752.6,41.0,D,63460.0,Jozerand
80.0,1960.0,1948-1974,appartement,Réseau de Chauffage urbain,Réseau de chaleur isolé,443.0,99.1,10.1,562.7,7.0,B,68000.0,Colmar
